Processes: 906 total, 2 running, 904 sleeping, 3777 threads 
2026/06/18 23:30:46
Load Avg: 1.61, 2.59, 4.18 
CPU usage: 3.61% user, 13.5% sys, 83.33% idle 
SharedLibs: 1096M resident, 185M data, 317M linkedit.
MemRegions: 288673 total, 5256M resident, 549M private, 2840M shared.
PhysMem: 20G used (2435M wired, 3334M compressor), 3577M unused.
VM: 380T vsize, 6144M framework vsize, 0(0) swapins, 0(0) swapouts.
Networks: packets: 54343211/45G in, 58823274/49G out.
Disks: 24917648/473G read, 25410543/569G written.

PID    COMMAND          %CPU TIME     #TH   #WQ  #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS    COW    MSGSENT    MSGRECV    SYSBSD     SYSMACH    CSW        PAGEINS IDLEW    POWER INSTRS CYCLES JETPRI USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
48258  WeatherWidget    0.0  00:14.38 6     4/3  154    19M   176K  5184K 48258 1     sleeping *8[42]      0.00000 0.00000    501 10283     491    3717       2094       84532      13327      41507      173     2        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
48030  RemotePairingDat 0.0  00:00.03 2     1    33     2448K 0B    2160K 48030 1     sleeping *0[1]       0.00000 0.00000    213 787       102    130        55         541        340        57         18      0        0.0   0      0      0      _usbmuxd               N/A    N/A   N/A   N/A   N/A   N/A  
48029  remotepairingd   0.0  00:02.03 3     1    46     4608K 0B    1744K 48029 1     sleeping *0[1]       0.00000 0.00000    501 1473      132    717        4922       26318      5994       9010       85      1        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
47603  mbuseragent      0.0  00:00.07 2     1    42     2752K 0B    2416K 47603 1     sleeping *0[1]       0.00000 0.00000    501 2391      110    219        328        1187       762        553        75      2        0.0   0      0      40     jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
47492  DataDetectorsSou 0.0  00:00.08 2     1    27     2016K 0B    1744K 47492 1     sleeping  0[0]       0.00000 0.00000    257 1353      91     117        57         867        248        231        4       0        0.0   0      0      0      _datadetectors         N/A    N/A   N/A   N/A   N/A   N/A  
47328  microstackshot   0.0  00:00.15 2     1    33     2192K 0B    1888K 47328 1     sleeping  0[0]       0.00000 0.00000    0   3351      93     472        424        3662       1745       1348       13      2        0.0   0      0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
47244  filevaultd       0.0  00:01.68 2     1    205    4816K 0B    3104K 47244 1     sleeping *0[156]     0.00000 0.00000    501 11353     142    11298      7139       39752      16596      16349      45      7        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
46313  XProtectPluginSe 0.0  00:08.20 2     1    45     3328K 0B    720K  46313 1     sleeping  0[0]       0.00000 0.00000    501 8415      101    3805       1517       578770     6798       16905      11      1        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
44762  DisplayControls  0.0  00:01.88 4     3/1  79     9361K 0B    2288K 44762 1     sleeping *1[4]       0.00000 0.00000    501 14801     271    1839       828        17419      3603       6945       163     0        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
43654  MTLCompilerServi 0.0  00:00.04 2     1    34     8512K 0B    8192K 43654 1     sleeping *0[4]       0.00000 0.00000    501 1658      117    165        240        915        535        208        35      1        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
